pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
2.071,4.94,0.062,0.034,162.1675,5660.0,0.877,0.869,0
2.539,6.98,0.1074,0.055,53.8795,5660.0,0.877,0.869,0
3.083,9.71,0.1367,0.058,35.0031,5660.0,0.877,0.869,0
13.2,950.30693693,1.259,0.338,0.709,5694.0,1.089,0.98,1
3.2,10.3,0.113,0.2,198.3948,6200.0,1.19,1.21,0
2.05,4.55,0.035,0.093,735.49,5732.0,0.968,0.997,0
2.11384817,10.5,0.068,0.045,199.9,5732.0,0.968,0.997,0
12.6,2685.65003915,5.0,0.487,0.064,5957.0,1.213,1.18,0
12.778238,680.15279098,0.0713,0.3136,593.4,5742.0,2.04,1.27,0
2.857,6.1,0.124695,0.0,71.8,5712.0,1.08,1.02,0
1.664,4.72,0.0964,0.0,111.6,5664.0,1.058,0.87,0
2.916,11.24,0.1721,0.0,35.1,5664.0,1.058,0.87,0
2.562,8.82,0.425,0.0,5.74,5664.0,1.058,0.87,0
11.500434,131.89945,0.1097,0.251,356.0,5521.0,2.336,1.324,0
8.29466,120.7754,0.04364,0.0,1095.91,6179.0,1.41,1.42,0
3.41,11.56,0.1053,0.14,255.7,6310.0,1.43,1.15,0
1.77,6.519,0.05245,0.058,161.7314,5131.0,0.855,0.829,0
2.526,6.792,0.1235,0.096,29.1782,5131.0,0.855,0.829,0
2.24,5.65,0.09,0.11,33.14,4757.0,0.762,0.79,0
2.93,8.91,0.141,0.04,13.37,4757.0,0.762,0.79,0
13.3,116.0,2.16,0.08,0.1578,5390.0,0.946,0.926,0
3.66,13.0,0.341,0.12,6.29,5390.0,0.946,0.926,0
12.3299,1115.5833,0.16278,0.68,18.9464,6040.0,1.55,1.41,0
2.26,5.74,0.06296,0.066,83.5,4931.0,0.782,0.789,0
2.98,9.18,0.11878,0.111,23.5,4931.0,0.782,0.789,0
3.49,20.4,0.1322,0.061,58.1,5784.0,0.96,0.996,0
2.6,24.1,0.048,0.34,145.0,5145.0,0.767,0.863,0
12.66617,359.1479,0.03126,0.0,356.0,5052.0,0.75,0.79,0
3.41,10.0,0.0804,0.031,100.0,5348.0,0.94,0.81,0
3.195,8.0,0.1752,0.034,21.0,5348.0,0.94,0.81,0
